release_id,primary_artist,styles_text,genres_text,contributors_text,companies_text,format_text,country,year,updated_at
8778040,"Marco Pellegrino",house|techno|acid|electronic,electronic,"michelle grinser|ancut|lacquer cut by|producer, written by","analogcut mastering","vinyl|12""|33 ⅓ rpm|ep",Germany,2016,1771447973860
10366568,"OCP (6) aka Analogue Cops, The",techno|acid|house|electronic,electronic,"michelle grinser|marco pellegrino|lacquer cut by|mastered by","analogcut mastering","vinyl|12""|33 ⅓ rpm|ep",Germany,2017,1771447992865
10816306,Conforce,"techno|dub techno|electronic",electronic,"graphic surgery|boris bunnik|artwork|written-by, producer","delsin records",cd|album,Netherlands,2017,1771447941762
12087395,Ancut,house|techno|acid|electronic,electronic,"michelle grinser|marco pellegrino|lacquer cut by|written by, producer","analogcut mastering|r.a.n.d. muzik","vinyl|12""|33 ⅓ rpm|ep",Germany,2018,1771447994671
13493379,"Matthias (52), Ancut",house|breakbeat|idm|electronic,electronic,"marco pellegrino|matthias (52)|written-by","analogcut mastering|intakt! presswerk gmbh","vinyl|12""|ep|record store day|limited edition|white label",Germany,2019,1771447999925
13775286,"Matthias (52) / Ancut",acid|techno|house|electronic,electronic,"","","vinyl|12""",Germany,2019,1771448003847
15024463,Various,electro|minimal|techno|electronic,electronic,"tara sydney von somogy|corey kikos|eugene peloza|artwork, graphics|mastered by|mixed by","clone distribution|record industry","vinyl|12""|ep",Australia,2020,1771449571795
15497467,Lizz,minimal|electronic,electronic,"","","vinyl|12""|33 ⅓ rpm|45 rpm|ep|stereo",Germany,2020,1771446269608
15603090,DumitrEscu,minimal|house|electronic,electronic,"","","vinyl|12""|ep|stereo",Romania,2020,1771446272495
15820544,"iota (15)",electro|minimal|techno|electronic,electronic,"tara sydney von somogy|corey kikos|eugene peloza|artwork, graphics|mastered by|mixed by","clone distribution|record industry","vinyl|12""|33 ⅓ rpm|ep",Australia,2020,1771451154671
16157723,"Livio & Roby","minimal|tech house|electronic",electronic,"","","vinyl|12""",Romania,2020,1771446273616
16353615,"iota (15)",electro|minimal|techno|electronic,electronic,"tara sydney von somogy|corey kikos|eugene peloza|artwork, graphics|mastered by|mixed by","",file|flac|ep,Australia,2020,1771451157254
16484577,"OK EG","techno|deep techno|trance|electronic",electronic,"ezra miller|tara sydney von somogy|corey kikos|lauren squire|matthew wilson (7)|artwork by|graphic design|mastered by|producer","","vinyl|12""",Australia,2021,1771451158980
16835247,Cosmjn,electro|electronic,electronic,"","","vinyl|12""|45 rpm",Romania,2021,1771446275841
18929083,"Dinu (4)",house|minimal|electronic,electronic,"","","vinyl|12""|33 ⅓ rpm|45 rpm|ep|stereo",Romania,2021,1771446277121
19749748,Sublee,minimal|electronic,electronic,"","","vinyl|12""",Romania,2021,1771446279048
21824347,"Dolly (37)","deep house|tech house|minimal|electronic",electronic,"fenna schilling|tara sydney von somogy|mark klon|eugene peloza|artwork by|design|mastered by|mixed by","","vinyl|12""",Australia,2022,1771451163219
22381225,"A.T. (13)",house|techno|electronic,electronic,"marco pellegrino|ivan iacobucci|mastered by|written by, composed by","analogcut mastering","vinyl|12""|33 ⅓ rpm|45 rpm|ep",Germany,2022,1771447949504
22746380,Various,"electro|techno|dub techno|drum n bass|breakbeat|electronic",electronic,"kavil patel|tara sydney von somogy|eugene peloza|mark klon|artwork by|design|mixed by|remastered by","clone distribution","vinyl|12""|compilation",Australia,2022,1771451165796
23084681,Floog,minimal|electronic,electronic,"","","vinyl|12""|33 ⅓ rpm|ep",Romania,2022,1771446280588
23894882,Various,"breaks|tech house|acid|techno|house|electronic",electronic,"","","vinyl|12""|33 ⅓ rpm|ep|limited edition|numbered",Germany,2022,1771447968822
23932550,"Andu Simion","minimal|tech house|acid|electronic",electronic,"","","vinyl|12""|33 ⅓ rpm|ep",Romania,2022,1771446282743
24597473,"Yaroslav Lenzyak","progressive house|electro|electronic",electronic,"","","vinyl|12""|33 ⅓ rpm|ep",Germany,2022,1771447952483
25116100,Billus,"tech house|minimal|house|electronic",electronic,"harry gorman|lucas hatsisavas|corey kikos|billus moon|artwork|design|mastered by|producer","clone distribution","vinyl|12""|ep",Australia,2022,1771451169977
25319530,Arapu,minimal|electronic,electronic,"","","vinyl|12""|ep",Romania,2022,1771446283796
26341760,LOIF,techno|electro|electronic,electronic,"eugene peloza|mixed by","","vinyl|12""",Australia,2023,1771451174949
27169398,"Sam Brickel","tech house|minimal|jungle|electronic",electronic,"lucas hatsisavas|the herbalist|eugene peloza|artwork, design|mastered by|mixed by","","vinyl|12""|album",Australia,2023,1771451179162
27850878,"Mihai Pol","minimal|tech house|electronic",electronic,"","","vinyl|12""",Romania,2023,1771446286014
28031088,"Paradise City Breakers","house|tech house|electronic",electronic,"","small black dots","vinyl|12""|ep",Germany,2023,1771447958250
29846647,"Command D","tech house|minimal|dub techno|electronic",electronic,"downstairs j|corey kikos|artwork by|mastered by","","vinyl|12""|45 rpm",Australia,2024,1771451183762
30196610,"Volodymyr Gnatenko",idm|ambient|electronic,electronic,"shjva|corey kikos|co-producer|mastered by","",cd,Australia,2024,1771449573830
30580876,"Zara (26)","deep techno|downtempo|idm|electronic",electronic,"tharim cornilesse|corey kikos|artwork by|mastered by","",cd|ep,Australia,2024,1771449577435
30879483,"Ulo S.","electro|tech house|acid|electronic",electronic,"popdabadel|keith tenniswood|lucas j. hatzisavas|artwork|mastered by|mixed by, recorded by","","vinyl|12""|33 ⅓ rpm",Australia,2024,1771449579622
31127996,"Yu (33)","acid|progressive trance|techno|electronic",electronic,"marco pellegrino|mastered by","small black dots|analogcut mastering","vinyl|12""",Germany,2024,1771447963735
33066594,o.utlier,"techno|deep house|acid|electronic",electronic,"márton tóth|noel summerville|o.utlier|artwork|mastered by|written by, producer","","vinyl|12""|ep|stereo",Australia,2025,1771450721052
