id,label_id,title,artist,year,catno,discogs_url,thumb_url,details_fetched,youtube_matched,listened,wishlist,fetched_at,release_order,match_confidence,processing_error,import_source
2060,254,Ploy,Maurizio,,M-1,https://www.discogs.com/releases/2060,https://i.discogs.com/ntozUvgIXhYNNuz7tSwx68u4xD08fiSpx59ecFuRwIw/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIwNjAt/MTE5NTU2NDYzOC5q/cGVn.jpeg,1,0,0,1,1771445244032,38,0.0,,discogs_want
2579,541304,"I Would Do Anything For A Dairylea","Lucky & Easy",2000,"7 dsr/ lae 1",https://www.discogs.com/release/2579,https://i.discogs.com/rcvVQvSyIfVoXQB1PpSEJiL4aWUr_h6EZ4FbrzlsvdU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI1Nzkt/MTQ0OTEzMDA4Mi0z/ODExLnBuZw.jpeg,1,0,1,0,1771423600229,0,0.0,"Track match issue: YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""Requests to this API youtube method youtube.api.v3.V3DataSearchService.List are blocked."",
    ""errors"": [
      {
        ""message"": ""Requests to this API youtube method youtube.api.v3.V3DataSearchService.List are blocked."",
        ""domain"": ""global"",
        ""reason"": ""forbidden""
      }
    ],
    ""status"": ""PERMISSION_DENIED"",
    ""details"": [
      {
        ""@type"": ""type.googleapis.com/google.rpc.ErrorInfo"",
        ""reason"": ""API_KEY_SERVICE_BLOCKED"",
        ""domain"": ""googleapis.com"",
        ""metadata"": {
          ""consumer"": ""projects/1097707475336"",
          ""service"": ""youtube.googleapis.com"",
          ""methodName"": ""youtube.api.v3.V3DataSearchService.List"",
          ""apiName"": ""youtube""
        }
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.LocalizedMessage"",
        ""locale"": ""en-US"",
        ""message"": ""Requests to this API youtube method youtube.api.v3.V3DataSearchService.List are blocked.""
      }
    ]
  }
}
",label
3117,541304,"The Lost Day EP",Norken,2000,"09 dsr/nor1",https://www.discogs.com/release/3117,https://i.discogs.com/dwtaTVaixBB33n96PYikhomrquJdI_5yDHcUuGaKGkM/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMxMTct/MTMwNTg0MDQzMi5q/cGVn.jpeg,1,0,1,0,1771423603165,1,0.0,"Track match issue: YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""Requests to this API youtube method youtube.api.v3.V3DataSearchService.List are blocked."",
    ""errors"": [
      {
        ""message"": ""Requests to this API youtube method youtube.api.v3.V3DataSearchService.List are blocked."",
        ""domain"": ""global"",
        ""reason"": ""forbidden""
      }
    ],
    ""status"": ""PERMISSION_DENIED"",
    ""details"": [
      {
        ""@type"": ""type.googleapis.com/google.rpc.ErrorInfo"",
        ""reason"": ""API_KEY_SERVICE_BLOCKED"",
        ""domain"": ""googleapis.com"",
        ""metadata"": {
          ""service"": ""youtube.googleapis.com"",
          ""consumer"": ""projects/1097707475336"",
          ""methodName"": ""youtube.api.v3.V3DataSearchService.List"",
          ""apiName"": ""youtube""
        }
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.LocalizedMessage"",
        ""locale"": ""en-US"",
        ""message"": ""Requests to this API youtube method youtube.api.v3.V3DataSearchService.List are blocked.""
      }
    ]
  }
}
",label
3119,541304,"Service Pack",CiM,1999,"5 dsr/cim 1",https://www.discogs.com/release/3119,https://i.discogs.com/eSdHnY2aUGjQ2yxrKDTaK-WAesRZmyf9vC-WQtPPN8s/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMxMTkt/MTY4OTAxNDM4OC0x/NzY5LmpwZWc.jpeg,1,0,1,0,1771423606203,2,0.0,"Track match issue: YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""Requests to this API youtube method youtube.api.v3.V3DataSearchService.List are blocked."",
    ""errors"": [
      {
        ""message"": ""Requests to this API youtube method youtube.api.v3.V3DataSearchService.List are blocked."",
        ""domain"": ""global"",
        ""reason"": ""forbidden""
      }
    ],
    ""status"": ""PERMISSION_DENIED"",
    ""details"": [
      {
        ""@type"": ""type.googleapis.com/google.rpc.ErrorInfo"",
        ""reason"": ""API_KEY_SERVICE_BLOCKED"",
        ""domain"": ""googleapis.com"",
        ""metadata"": {
          ""apiName"": ""youtube"",
          ""consumer"": ""projects/1097707475336"",
          ""methodName"": ""youtube.api.v3.V3DataSearchService.List"",
          ""service"": ""youtube.googleapis.com""
        }
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.LocalizedMessage"",
        ""locale"": ""en-US"",
        ""message"": ""Requests to this API youtube method youtube.api.v3.V3DataSearchService.List are blocked.""
      }
    ]
  }
}
",label
4670,541304,"Pharaoh's Doorway EP","Optic Nerve",2001,"16 dsr/otn1",https://www.discogs.com/release/4670,https://i.discogs.com/VFCGdDqfXWDqdnctBABf8DAWKa6tDSe9Xegna0qWbcg/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ2NzAt/MTE2MTM0Mjc3MS5q/cGVn.jpeg,1,0,1,0,1771423621299,3,0.0,"Track match issue: YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""Requests to this API youtube method youtube.api.v3.V3DataSearchService.List are blocked."",
    ""errors"": [
      {
        ""message"": ""Requests to this API youtube method youtube.api.v3.V3DataSearchService.List are blocked."",
        ""domain"": ""global"",
        ""reason"": ""forbidden""
      }
    ],
    ""status"": ""PERMISSION_DENIED"",
    ""details"": [
      {
        ""@type"": ""type.googleapis.com/google.rpc.ErrorInfo"",
        ""reason"": ""API_KEY_SERVICE_BLOCKED"",
        ""domain"": ""googleapis.com"",
        ""metadata"": {
          ""service"": ""youtube.googleapis.com"",
          ""consumer"": ""projects/1097707475336"",
          ""methodName"": ""youtube.api.v3.V3DataSearchService.List"",
          ""apiName"": ""youtube""
        }
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.LocalizedMessage"",
        ""locale"": ""en-US"",
        ""message"": ""Requests to this API youtube method youtube.api.v3.V3DataSearchService.List are blocked.""
      }
    ]
  }
}
",label
5299,541304,"Audience EP","Peel Seamus",1997,"02 dsr/psm2",https://www.discogs.com/release/5299,https://i.discogs.com/S0akmfDjT299bt0jFw5MN__dHKec_KwDLYe1yE4siuc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUyOTkt/MTQ0OTk5NTAyNS0z/ODg4LnBuZw.jpeg,1,0,0,0,1771423624057,4,0.0,"Track match issue: YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""Requests to this API youtube method youtube.api.v3.V3DataSearchService.List are blocked."",
    ""errors"": [
      {
        ""message"": ""Requests to this API youtube method youtube.api.v3.V3DataSearchService.List are blocked."",
        ""domain"": ""global"",
        ""reason"": ""forbidden""
      }
    ],
    ""status"": ""PERMISSION_DENIED"",
    ""details"": [
      {
        ""@type"": ""type.googleapis.com/google.rpc.ErrorInfo"",
        ""reason"": ""API_KEY_SERVICE_BLOCKED"",
        ""domain"": ""googleapis.com"",
        ""metadata"": {
          ""service"": ""youtube.googleapis.com"",
          ""consumer"": ""projects/1097707475336"",
          ""methodName"": ""youtube.api.v3.V3DataSearchService.List"",
          ""apiName"": ""youtube""
        }
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.LocalizedMessage"",
        ""locale"": ""en-US"",
        ""message"": ""Requests to this API youtube method youtube.api.v3.V3DataSearchService.List are blocked.""
      }
    ]
  }
}
",label
7221,541304,Trespassers,Newworldaquarium,2000,13dsr/nwa2,https://www.discogs.com/release/7221,https://i.discogs.com/n1Mqa1qHOiEruUsUzhNkv2J8OGm9v0lCT7k1FjTlaFo/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTcyMjEt/MTcwMzUxNDYxNy0y/NjkyLmpwZWc.jpeg,1,0,0,0,1771423626817,5,0.0,"Track match issue: YouTube API error 403: {
  ""error"": {
    ""code"": 403,
    ""message"": ""Requests to this API youtube method youtube.api.v3.V3DataSearchService.List are blocked."",
    ""errors"": [
      {
        ""message"": ""Requests to this API youtube method youtube.api.v3.V3DataSearchService.List are blocked."",
        ""domain"": ""global"",
        ""reason"": ""forbidden""
      }
    ],
    ""status"": ""PERMISSION_DENIED"",
    ""details"": [
      {
        ""@type"": ""type.googleapis.com/google.rpc.ErrorInfo"",
        ""reason"": ""API_KEY_SERVICE_BLOCKED"",
        ""domain"": ""googleapis.com"",
        ""metadata"": {
          ""apiName"": ""youtube"",
          ""service"": ""youtube.googleapis.com"",
          ""consumer"": ""projects/1097707475336"",
          ""methodName"": ""youtube.api.v3.V3DataSearchService.List""
        }
      },
      {
        ""@type"": ""type.googleapis.com/google.rpc.LocalizedMessage"",
        ""locale"": ""en-US"",
        ""message"": ""Requests to this API youtube method youtube.api.v3.V3DataSearchService.List are blocked.""
      }
    ]
  }
}
",label
24761,1558,Sorceror,Megalon,,"Plk 007",https://www.discogs.com/releases/24761,https://i.discogs.com/YMjC1mhCk7dLAdL9ZVrRPykJs-M_RBgBa1LpD01My2c/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI0NzYx/LTExODIzNjIwMDMu/anBlZw.jpeg,1,0,0,1,1771445244032,47,0.0,,discogs_want
24886,238,"West On 27th",Killahurtz,,"HOOJ 91",https://www.discogs.com/releases/24886,https://i.discogs.com/KHgQkbAWVcCaz9VCOt-0QQbMSOuh_dhecaOs5ljpOGg/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI0ODg2/LTEyODA3MTAyMTQu/anBlZw.jpeg,1,0,0,1,1771445244032,27,0.0,,discogs_want
25891,1327,Preview,Ratio,,central06,https://www.discogs.com/releases/25891,https://i.discogs.com/F6frrg7i8HjCWjWL_QEtcl8TUS6dxC3NZKiSM2Eqo4k/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI1ODkx/LTEyNjc4NzkxNjYu/anBlZw.jpeg,1,0,0,1,1771445244032,18,0.0,,discogs_want
