id,release_id,position,title,duration,artists_text,listened,wishlist,created_at,saved
1,24573458,1,"If You Don't Know Why",5:57,"Jack Jutson",0,0,1771423169045,0
2,24573458,2,"Opening The Door",3:53,"Jack Jutson",0,0,1771423169045,0
3,24573458,3,"The Only Way ",4:29,"Jack Jutson",0,0,1771423169045,0
4,24573458,4,"Only You Know Why",4:17,"Jack Jutson",0,0,1771423169045,0
5,24573458,5,"Clues (Part I)",4:19,"Jack Jutson",0,0,1771423169046,0
6,24573458,6,"Clues (Part II)",5:03,"Jack Jutson",0,0,1771423169046,0
7,24573458,7,"I Saw Fire",4:08,"Jack Jutson",0,0,1771423169046,0
8,24573458,8,"Closing The Door",5:50,"Jack Jutson",0,0,1771423169046,0
9,24573458,9,"Only You Know Why / If You Don't Know Why (Perspective)",10:04,"Jack Jutson",0,0,1771423169046,0
10,24573458,10,"Only You Know Why (Taupo Mix)",4:09,"Jack Jutson",0,0,1771423169046,0
11,15373598,1,Falling,4:26,"Pender Street Steppers",0,0,1771423172225,0
12,15373598,2,"Falling (Dub)",4:50,"Pender Street Steppers",0,0,1771423172225,0
13,15373598,3,"Our Time",6:23,"Pender Street Steppers",0,0,1771423172225,0
14,15373598,4,"Our Time (Dub)",5:57,"Pender Street Steppers",0,0,1771423172226,0
15,14358569,A1,"Falling (Vocal)",4:17,"Pender Street Steppers",0,0,1771423174935,0
16,14358569,A2,"Falling (Dub)",6:20,"Pender Street Steppers",0,0,1771423174935,0
17,14358569,B1,"Our Time (Vocal)",6:23,"Pender Street Steppers",0,0,1771423174935,0
18,14358569,B2,"Our Time (Dub)",5:57,"Pender Street Steppers",0,0,1771423174935,0
19,9358185,A,"Roamin’",10:32,"Kinetic Electronix",0,0,1771423177846,0
20,9358185,B1,DewDropInn,6:42,"Kinetic Electronix",0,0,1771423177846,0
21,9358185,B2,"Newjack Bubble",7:05,"Kinetic Electronix",0,0,1771423177847,0
22,9358185,C,"Spring Step",10:26,"Kinetic Electronix",0,0,1771423177848,0
23,9358185,D1,"Low Moves",11:20,"Kinetic Electronix",0,0,1771423177848,0
24,9358185,D2,Spirals,5:41,"Kinetic Electronix",0,0,1771423177848,0
25,11704902,1,"Roamin’",10:31,"Kinetic Electronix",0,0,1771423180497,0
26,11704902,2,"DewDroppinn II",6:48,"Kinetic Electronix",0,0,1771423180498,0
27,11704902,3,"New Jack Bubble",7:05,"Kinetic Electronix",0,0,1771423180498,0
28,11704902,4,"Spring Step",10:26,"Kinetic Electronix",0,0,1771423180498,0
29,11704902,5,"Low Moves DJ Tool",11:10,"Kinetic Electronix",0,0,1771423180499,0
30,11704902,6,"Spirals DJ Tool",5:41,"Kinetic Electronix",0,0,1771423180499,0
31,9975057,"","This Side",,"Neo Image",0,0,1771423183204,0
32,9975057,A1,"Winskill Dub",7:11,"Neo Image",0,0,1771423183204,0
33,9975057,A2,Duckberg,6:07,"Neo Image",0,0,1771423183205,0
34,9975057,"","That Side",,"Neo Image",0,0,1771423183205,0
35,9975057,B1,"Positive Pressure",5:48,"Neo Image",0,0,1771423183206,0
36,9975057,B2,"Crystal Pool",5:01,"Neo Image",0,0,1771423183206,0
