id,track_id,video_id,title,channel_title,score,embeddable,chosen,fetched_at
1,466,EF_O4ybSWPE,"Norken - Walk [Delsin, 09 dsr/nor1 ]","Krisztian Laki",5.0,1,1,1771428896464
2,466,Mfq4k35jhC0,"Norken - Home","Holy Terrorizer",2.0,1,0,1771428896465
3,466,tAtNi9gd0m0,"Norken - More frequencies","Palelec Alx (Palelec59)",1.0,1,0,1771428896465
4,466,7SpOwNITGwk,"Norken - Southern Soul - Delsin Records (dsr-x10)","Delsin Records",4.0,1,0,1771428896466
5,466,gOWTz8CbMjo,Home,"Norken - Topic",1.0,1,0,1771428896467
21,467,EF_O4ybSWPE,"Norken - Walk [Delsin, 09 dsr/nor1 ]","Krisztian Laki",6.0,1,1,1771431402058
22,467,MouNrV4arZc,Walk,"Norken - Topic",1.0,1,0,1771431402058
23,467,cMk-tQb1QzY,"Norken - Shifting Towards - Delsin Records (dsr-x10)","Delsin Records",4.0,1,0,1771431402059
24,467,7SpOwNITGwk,"Norken - Southern Soul - Delsin Records (dsr-x10)","Delsin Records",4.0,1,0,1771431402059
25,467,zvi_gY99Irw,"Norken &amp; _Nyquist - Od Detot","O0ο0Ο",1.0,1,0,1771431402059
26,467,GgKgwaIAC00,"Norken - East","The Diggin Issue",1.0,1,0,1771431402059
27,467,luN2avENmxM,Static,"Norken - Topic",0.0,1,0,1771431402059
28,467,N_3McNvorUE,"Norken -  Fragile","Shindō Vibrations",1.0,1,0,1771431402060
29,467,H4TRIMLcId0,East,"Norken - Topic",0.0,1,0,1771431402060
30,467,sszSZj-0Rz8,"Norken - Memories",FreebirthOne,1.0,1,0,1771431402060
31,467,GCTGmS0bJNA,Gates,"Norken - Topic",0.0,1,0,1771431402060
32,467,ErWGz1SrphU,"Galaxy Driven","Norken - Topic",0.0,1,0,1771431402061
33,467,pU7BavCpC-4,"Northern Soul","Norken - Topic",0.0,1,0,1771431402061
34,467,5_T7jmCGgfo,"Norken - Up",zabriskie,1.0,1,0,1771431402061
35,467,f8N6kqdNO_M,Up,"Norken - Topic",0.0,1,0,1771431402061
36,467,I4XxeXMlK2k,"Norken &amp; _Nyquist -- Track 11",ballacid,1.0,1,0,1771431402061
37,467,smIh36toyBE,Travelogue,"Norken - Topic",0.0,1,0,1771431402061
38,467,Wq35FbY696E,"Spring Theme","Norken - Topic",0.0,1,0,1771431402061
39,467,tAtNi9gd0m0,"Norken - More frequencies","Palelec Alx (Palelec59)",1.0,1,0,1771431402062
40,467,LoDvb6QTq7Y,"Norken - Ride","Vincent G",1.0,1,0,1771431402062
41,467,xrgrZgLzFB4,"NORKEN - FERN [2000]",jbrady909,1.0,1,0,1771431402062
42,467,h0sg7lxLfwg,"Norken - Memories","oO /o",1.0,1,0,1771431402062
43,467,5B8WCbW1gN0,"Sentomea - Ease Of Life - Delsin Records (dsr-c10)","Delsin Records",3.0,1,0,1771431402062
44,467,Se2tRkMcNL4,"Norken - Gone",microglitch,1.0,1,0,1771431402062
45,467,U9be0ljFzCg,"Norken - The Visit",Teodor,1.0,1,0,1771431402063
230,462,bKb9m7iHA6U,"Lucky & Easy - Chippoke",Discogs,0.5,1,1,1771436732640
231,463,bKb9m7iHA6U,"Lucky & Easy - Chippoke",Discogs,0.5,1,1,1771436813070
232,464,bKb9m7iHA6U,"Lucky & Easy - Chippoke",Discogs,0.5,1,1,1771437148560
233,468,Mfq4k35jhC0,"Norken - Home",Discogs,0.5,1,1,1771437568176
234,475,Z9UEikU0RTM,"CiM - Shift - Service Pack EP - [DSRCIM2] - 2020",Discogs,0.5,1,1,1771437573519
235,465,bKb9m7iHA6U,"Lucky & Easy - Chippoke",Discogs,0.5,1,1,1771439063008
236,469,Mfq4k35jhC0,"Norken - Home",Discogs,0.5,1,1,1771439492572
237,470,Z9UEikU0RTM,"CiM - Shift - Service Pack EP - [DSRCIM2] - 2020",Discogs,0.5,1,1,1771439801840
238,471,Z9UEikU0RTM,"CiM - Shift - Service Pack EP - [DSRCIM2] - 2020",Discogs,0.5,1,1,1771440320200
239,472,Z9UEikU0RTM,"CiM - Shift - Service Pack EP - [DSRCIM2] - 2020",Discogs,0.5,1,1,1771440377031
240,473,Z9UEikU0RTM,"CiM - Shift - Service Pack EP - [DSRCIM2] - 2020",Discogs,0.5,1,1,1771440381738
241,474,Z9UEikU0RTM,"CiM - Shift - Service Pack EP - [DSRCIM2] - 2020",Discogs,0.5,1,1,1771440385687
242,476,Z9UEikU0RTM,"CiM - Shift - Service Pack EP - [DSRCIM2] - 2020",Discogs,0.5,1,1,1771440389465
243,480,HMZkyKt681g,"Optic Nerve (Keith Tucker) - Another Plain from Pharaoh's Doorway EP",Discogs,0.5,1,1,1771440393054
244,479,HMZkyKt681g,"Optic Nerve (Keith Tucker) - Another Plain from Pharaoh's Doorway EP",Discogs,0.5,1,1,1771440440517
245,477,Z9UEikU0RTM,"CiM - Shift - Service Pack EP - [DSRCIM2] - 2020",Discogs,0.5,1,1,1771440581998
246,478,HMZkyKt681g,"Optic Nerve (Keith Tucker) - Another Plain from Pharaoh's Doorway EP",Discogs,0.5,1,1,1771440584608
247,481,0_9fon8G6is,"Peel Seamus - Chatsubo",Discogs,8.0,1,1,1771441007423
248,483,PlbePSSu1b4,"Peel Seamus - Futur H",Discogs,8.0,1,1,1771441843764
249,2116,eaUyZa6xSC0,"John Beltran - Brilliant Flood (Kassem Mosse & Mix Mup Remix) [87DSR/JBT1]",Discogs,8.0,1,1,1771441852917
250,2117,mNQ8I_Z7rrw,"john beltran - nephilas oneiric (svens glorify tribute mix to John Beltran)",Discogs,16.0,1,1,1771441852918
251,2118,YT4WCj0d-Jg,"Raymond Castoldi - Cycles Of Life",Discogs,8.0,1,1,1771441853546
252,2119,0IBlMCNvxSI,"Raymond Castoldi - Condensation",Discogs,8.0,1,1,1771441853547
253,2120,dPiuyKOVd1M,"Raymond Castoldi - Feel the Rhythm",Discogs,8.0,1,1,1771441853547
254,2121,ebgZHcmwq2U,"Raymond Castoldi - Feel the Piano",Discogs,8.0,1,1,1771441853548
255,2122,Ge8-JVDfjLI,"Raymond Castoldi - And God Made A Woman",Discogs,8.0,1,1,1771441853549
256,2123,LkyHapkI6VQ,"Raymond Castoldi - The Solo",Discogs,8.0,1,1,1771441853549
257,2124,85rhvXvmrB0,"Raymond Castoldi - In Orbit",Discogs,8.0,1,1,1771441853550
258,2125,qZUEw4E6FAY,"Raymond Castoldi - The Nightflight",Discogs,8.0,1,1,1771441853550
259,2126,pRTMYxQ2c8U,"Raymond Castoldi - Tone Poem",Discogs,8.0,1,1,1771441853551
260,2127,8BvJz-m-3Is,"Raymond Castoldi - The Deep And Slow (The Underground Man EP)",Discogs,8.0,1,1,1771441853552
261,2128,QOxAORpyANI,"Raymond Castoldi - Absolute Time",Discogs,8.0,1,1,1771441853552
262,2142,YoA-xk4vPhA,"Romar-013.1 (ATIPIC013)",Discogs,8.0,1,1,1771441853711
263,2143,Pu6JzfjfR_M,"Romar-013.2 (ATIPIC013)",Discogs,8.0,1,1,1771441853712
264,2144,tYSo3_979Xo,"Romar-013.3 (ATIPIC013)",Discogs,8.0,1,1,1771441853712
265,2138,qVcNCubvoWg,"Matthias ─ Psy Dance [REDISCO003]",Discogs,8.0,1,1,1771441853722
266,2139,qAhAqk84ieE,"Matthias - Robot Axe [REDISCO003]",Discogs,8.0,1,1,1771441853723
267,2140,tpOoIeccRDw,"Matthias - Fender Strato [REDISCO003]",Discogs,8.0,1,1,1771441853724
268,2141,PTPVXAGCHac,"Matthias - Les Rhytmes Sont Robotiques [REDISCO003]",Discogs,6.0,1,1,1771441853725
269,2133,MuEL10kCq4w,"Paradise City Breakers - A1. Andromeda Is A Lie",Discogs,8.0,1,1,1771441855579
270,2134,ZYSR6HZW0P0,"Paradise City Breakers - A2. The Pacman Effect",Discogs,8.0,1,1,1771441855579
271,2129,fv2LNZPKKrY,"Dārukā - Invisible Menders",Discogs,8.0,1,1,1771441855693
272,2130,E4v9rwZQ-d8,"Dārukā (SYO remix) - Invisible Menders",Discogs,8.0,1,1,1771441855693
273,2131,kfk_USbOinY,"Weather Obsessives (Eversines remix) - Invisible Menders Dream Forest EP Animals On Psychedelics 006",Discogs,8.0,1,1,1771441855694
274,2136,dV_zliUNT_8,"Paradise City Breakers - B1. I've Seen The World",Discogs,8.0,1,1,1771441855806
275,2137,gmevOAQ1JpA,"Paradise City Breakers ‎- Paradise City Breakers",Discogs,8.0,1,1,1771441855808
276,2145,7lgBPQeY5_0,"OK EG & Priori - Serpentine 1 [NAFF026]",Discogs,8.0,1,1,1771441855877
277,2146,b4LaWVwesA4,"OK EG & Priori - Serpentine 2 [NAFF026]",Discogs,8.0,1,1,1771441855878
